"clientName","clientAppId","status","isMicrosoft","isThirdParty","isHomeTenant","isHidden","publisher","publisherDomain","publisherDomainMatchesMicrosoft","publisherDomainMatchesTenant","verifiedPublisherName","verifiedPublisherId","appOwnerOrgId","msOwnerOrgMatch","msPublisherMatch","verifiedPublisherMatchesMicrosoft","msHasIntegratedTag","msHasGalleryTag","msKnownAppId","servicePrincipalType","servicePrincipalNames","servicePrincipalNameMatchesMicrosoft","servicePrincipalNameMatchesTenant","servicePrincipalTags","notes","ssoState","staleApp","tags","adminScopes","userScopes","userCount"
"Azure ContainerApps Sessions","2c7dd73f-7a21-485b-b97d-a2508fa152c3","pass","True","False","False","False","Microsoft Services","acasessions.io","False","False","Microsoft Corporation","5206095","f8cdef31-a31e-4b4a-93e4-5f571e91255a","True","True","True","False","False",,"Application","2c7dd73f-7a21-485b-b97d-a2508fa152c3;https://acasessions.io;https://dynamicsessions.io","False","False","disableLegacyUserImpersonationClient;disableLegacyUserImpersonationResource;GitCreatedApp",,"Disabled","False","Microsoft;No OAuth grants","","","0"
"Cisco Umbrella Admin SSO","0cc6db73-0126-4446-9b22-1b965b8dd280","pass","False","False","True","False","Base-IT Intune.cc","login.umbrella.com","False","False",,,"a65f6b72-abef-4f0b-88d6-3256be9a72d1","False","False","False","True","False",,"Application","0cc6db73-0126-4446-9b22-1b965b8dd280;https://login.umbrella.com/sso","False","False","WindowsAzureActiveDirectoryIntegratedApp",,"SAML","True","Home Tenant;staleApps;No OAuth grants","","","0"
"f5801e06c3034a23a14c05b5","773aa82b-2317-4c20-956e-07041c38643c","pass","True","False","False","False",,"identity.azure.net","True","False",,,,"False","False","False","False","False",,"ManagedIdentity","773aa82b-2317-4c20-956e-07041c38643c;https://identity.azure.net/Ka6Dhw9+LAQ7IiHOWme1966LxS7iaphjegvVlP9vB/4=","True","False","",,"Disabled","False","Microsoft;No OAuth grants","","","0"
"forpe-ai-shift-resource-forpe-ai-shift-AgentIdentity","2c4992a4-d293-4dbf-bfb4-a0f796693e46","pass","False","False","False","False",,,"False","False",,,,"False","False","False","False","False",,"ServiceIdentity","2c4992a4-d293-4dbf-bfb4-a0f796693e46","False","False","",,"Disabled","False","No OAuth grants","","","0"
"Syntex Resource Provider","886b3ae5-8ee1-4bb4-a312-b35341a95909","pass","True","False","False","False","Microsoft Services",,"False","False","Microsoft Corporation","5206095","f8cdef31-a31e-4b4a-93e4-5f571e91255a","True","True","True","False","False",,"Application","886b3ae5-8ee1-4bb4-a312-b35341a95909","False","False","",,"Disabled","False","Microsoft;No OAuth grants","","","0"
"Cisco Webex","356dccd0-ee51-4297-8c38-dee554aa381c","pass","False","False","True","False","Base-IT Intune.cc",,"False","False",,,"a65f6b72-abef-4f0b-88d6-3256be9a72d1","False","False","False","True","False",,"Application","356dccd0-ee51-4297-8c38-dee554aa381c","False","False","WindowsAzureActiveDirectoryIntegratedApp",,"Disabled","True","Home Tenant;staleApps;No OAuth grants","","","0"
"AIRS","c7d28c4f-0d2c-49d6-a88d-a275cc5473c7","pass","True","False","False","False","Microsoft Services","airsusgovarizona-staging.azurewebsites.us","False","False",,,"f8cdef31-a31e-4b4a-93e4-5f571e91255a","True","True","False","False","False",,"Application","https://airsusgovarizona-staging.azurewebsites.us;https://airsusgov-staging.azurewebsites.us;https://airsusgovarizona.azurewebsites.us;https://airsusgov.azurewebsites.us;https://airs.azure.us;https://azuremsregistration.microsoft.com;https://airsnortheurope-staging.azurewebsites.net;https://airsnortheurope.azurewebsites.net;https://airswestus.azurewebsites.net;https://airswestus-staging.azurewebsites.net;https://airs.microsoft.us;https://airseastus-staging.azurewebsites.net;https://admin-stg.studentpartners.microsoft.com;https://admin-uat.studentpartners.microsoft.com;https://admin.studentpartners.microsoft.com;https://studentpartners.microsoft.com;https://studentpartners-uat.microsoft.com;https://studentpartners-stg.microsoft.com;https://smp-uat.imagine.microsoft.com;https://smp.imagine.microsoft.com;https://smp-stg.imagine.microsoft.com;https://storefront-stg.microsoft.com;https://imagine.microsoft.com;https://imagine-ppe.microsoft.com;https://imagine-staging.microsoft.com;https://imagine-dev.microsoft.com;https://portal.startups.microsoft.com;https://portal-uat.startups.microsoft.com;https://portal-staging.startups.microsoft.com;https://portal-build.startups.microsoft.com;https://portal-dev.startups.microsoft.com;https://www.microsoftazuresponsorships.com/;https://airs.azurewebsites.net;https://airs;https://airs-staging.azurewebsites.net;https://airseastus;https://airseastus.azurewebsites.net;c7d28c4f-0d2c-49d6-a88d-a275cc5473c7","True","False","",,"OpenID Connect","False","Microsoft;No OAuth grants","","","0"
"Azure Security Insights Content As Code","11413461-f071-4513-802f-acbb00576ed3","pass","True","False","False","False","Microsoft Services","usx.cac.microsoftsiem.com","False","False",,,"f8cdef31-a31e-4b4a-93e4-5f571e91255a","True","True","False","False","False",,"Application","11413461-f071-4513-802f-acbb00576ed3;https://usx.cac.microsoftsiem.com","True","False","disableLegacyUserImpersonationClient;disableLegacyUserImpersonationResource;GitCreatedApp",,"Disabled","False","Microsoft;No OAuth grants","","","0"
"SecOps for Security Copilot","3e28acb6-7793-4fff-9fcf-fb14fbaf42a9","pass","True","False","False","False","Microsoft Services","3e28acb6-7793-4fff-9fcf-fb14fbaf42a9","False","False",,,"f8cdef31-a31e-4b4a-93e4-5f571e91255a","True","True","False","False","False",,"Application","3e28acb6-7793-4fff-9fcf-fb14fbaf42a9;api://3e28acb6-7793-4fff-9fcf-fb14fbaf42a9","False","False","disableLegacyUserImpersonationClient;disableLegacyUserImpersonationResource;GitCreatedApp",,"Disabled","False","Microsoft;No OAuth grants","","","0"
"Microsoft O365 Scuba","7ae5462d-d9d1-42f6-93ca-198d7b0ca997","pass","True","False","False","False","Microsoft Services",,"False","False","Microsoft Corporation","5206095","f8cdef31-a31e-4b4a-93e4-5f571e91255a","True","True","True","False","False",,"Application","7ae5462d-d9d1-42f6-93ca-198d7b0ca997","False","False","",,"Disabled","False","Microsoft;No OAuth grants","","","0"
